experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,diag_true_ps_min,diag_true_ps_max,error
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,2,2000,2000,0.507,1.9075713157653809,0.467859227832675,0.2708672365842464,0.3357507656018117,-0.2708672365842465,0.9804604494287746,0.7095932128445283,0.9317223130892608,0.0059241414096177225,0.9376464544988785,0.20316831488024203,0.24091011947192081,0.35407382706018525,0.8067748777871366,0.507,0.03065240216029745,0.9766421970155198,0.016,0.0225,0.3726110317622254,0.10434600355279218,0.5970206145257971,0.15,0.038529832493794255,0.9659987332756537,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,3,2000,2000,0.4975,1.8188889026641846,0.5463582246454811,0.3636095354078587,0.4112159866056948,-0.36360953540785873,1.0087926713972664,0.6451831359894077,0.8915684998566414,0.010949916170674312,0.9025184160273158,0.2625677069613136,0.4238795058585774,0.45288997543738535,0.8604093633111732,0.4975,0.02710922010657526,0.9708120361692915,0.0225,0.018,0.3667641691042276,0.11446476020211335,0.6809082392728507,0.2,0.028289045013268385,0.9593894594492443,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,4,2000,2000,0.4795,1.8910112380981445,0.5819295131683466,0.44684009538930725,0.463202222738047,-0.4468400953893073,0.9903193784566898,0.5434792830673826,0.9177791654896782,0.004556418194870959,0.9223355836845492,0.2194080252514272,0.4057129603852804,0.48235660065504876,0.9534972759376833,0.4795,0.012552305516356348,0.9771045164612736,0.0195,0.0095,0.3662927380927339,0.1000328571608901,0.5569797449163424,0.2,0.017193404491357145,0.9769899468579579,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,5,2000,2000,0.5025,1.8673782348632812,0.5241636431974991,0.304279978997134,0.3686552610821683,-0.304279978997134,0.9664879542782492,0.6622079752811152,0.9680908601870079,0.012177550010522675,0.9802684101975305,0.2583733928505317,0.3147549315231982,0.35566408248682746,0.8981456912872406,0.5025,0.015963375239138947,0.9603199240263416,0.0305,0.016,0.37606440161004023,0.1152547001794896,0.6098531315723713,0.15,0.027943533029464323,0.9320319340477532,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,6,2000,2000,0.492,1.853642463684082,0.5571710163492894,0.36487883887225203,0.4140929448451177,-0.36487883887225225,1.003619649399195,0.6387408105269429,1.0218558097756787,0.014077668255031428,1.0359334780307101,0.2387762028269265,0.35708356266692964,0.4380158275835019,0.9302567144943316,0.492,0.032312212231972906,0.9655440861709046,0.015,0.0115,0.3553869790666411,0.09680856401643036,0.5423450155934014,0.15,0.026336015377497433,0.9561696257484746,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,7,2000,2000,0.5055,1.835420846939087,0.6024078699562964,0.4297890122208333,0.4667487295728322,-0.4297890122208333,0.9985860310672204,0.5687970188463871,0.9937557203007741,0.00849514423154396,1.002250864532318,0.22565793034849674,0.361744138328661,0.49625204717551713,1.0116988433673948,0.5055,0.028966682825451964,0.9582037089304637,0.009,0.0205,0.38823397631113366,0.11654949019167812,0.5358975997063444,0.25,0.02971233266409221,0.9656940169490835,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,8,2000,2000,0.4925,1.8403804302215576,0.5817265180246252,0.386863042225588,0.45071907955195234,-0.386863042225588,1.0063284488837538,0.6194654066581659,1.0336668074196584,0.008293689545949556,1.041960496965608,0.24260349687053653,0.3531321242611715,0.47219897202914796,0.9731866953610773,0.4925,0.026265791169016634,0.9673170564827458,0.0175,0.0165,0.376034607786752,0.10186432388624574,0.5277392885616098,0.2,0.02879480163107263,0.9655988709120248,
confounding,confounding,synthetic,confounding_strength,1.0,s_learner,9,2000,2000,0.4895,1.9408824443817139,0.5973895267216734,0.4236979425040882,0.46680789584452453,-0.42369794250408827,1.000148146210073,0.5764502037059848,0.9003365255966176,0.006934174408492311,0.9072707000051099,0.22296484033522196,0.39190684024791994,0.49355453516304987,0.9902507843511894,0.4895,0.033181406310617716,0.971011923266994,0.022,0.013,0.37151583848477177,0.11280238399758895,0.5776465505594623,0.25,0.035819472134631776,0.9654650696119208,
confounding,confounding,synthetic,confounding_strength,1.0,t_learner,0,2000,2000,0.5015,1.8587017059326172,0.9324565704275815,0.15966248098674718,0.739936533093013,-0.1596624809867472,0.988634815670337,0.8289723346835898,0.8441113214075917,0.13052992836855015,0.9746412497761419,0.9819102428305805,0.9467731375529519,0.8238590047758202,0.9688293266703859,0.5015,0.028614529247713533,0.9742087337563412,0.0235,0.025,0.3961445653010877,0.10901961827433163,0.6463457674163098,0.25,0.030255797901506145,0.9618833171064568,
confounding,confounding,synthetic,confounding_strength,1.0,t_learner,1,2000,2000,0.504,1.8217082023620605,0.8454711099550226,0.09648770815605545,0.6654020799011006,-0.09648770815605545,0.9947717733296532,0.8982840651735977,0.9649499205189143,0.09894933026294206,1.0638992507818563,0.8329531957461858,0.8009689356874615,0.8001136662537982,0.9400752363019295,0.504,0.0400474627699318,0.9516231435316647,0.015,0.0165,0.377192140296979,0.10720741637231476,0.5475038568343314,0.15,0.04823166296560886,0.9599710610726617,
