experiment,condition,condition_value,model,metric,mean,std,sem,median,iqr,n,ci_low,ci_high
sample_size,train_fraction,1.0,s_learner,policy_regret,0.17309583970722356,0.286857754734439,0.052372821021112195,0.06524332781472975,0.14835346825361384,30,0.08516453087053509,0.28626010466280977
sample_size,train_fraction,1.0,s_learner,policy_value,18.01679399431568,20.47649708214559,3.7384797835266177,10.763950641876168,6.040246998627696,30,11.711712303849847,25.945296470232233
sample_size,train_fraction,1.0,t_learner,pehe,2.7559479284086508,4.586344527207093,0.8373481180138969,1.0909491775502356,0.6938360316558683,30,1.316402156772087,4.5519367525155685
sample_size,train_fraction,1.0,t_learner,abs_ate_error,0.3229998920688748,0.5442968761147138,0.09937455900920786,0.12128404315874519,0.18545489365012535,30,0.15715376708817974,0.5413054077303185
sample_size,train_fraction,1.0,t_learner,policy_regret,0.08540056391428603,0.22369997167496067,0.040841840199880894,0.017443988990361703,0.0677475213887373,30,0.028438094509256103,0.17716066815987366
sample_size,train_fraction,1.0,t_learner,policy_value,18.10448927010862,20.580363414370566,3.7574430945682664,10.91013054487652,6.121212527381255,30,11.76583900508192,26.037540670243708
sample_size,train_fraction,1.0,x_learner,pehe,3.7506534892808125,6.751211240651422,1.2325968956624074,1.284405076838512,1.078899476475783,30,1.6741928299162279,6.415612527705893
sample_size,train_fraction,1.0,x_learner,abs_ate_error,0.37888920025493444,0.44600423399537326,0.08142885990069279,0.21305269814835204,0.32139030823996473,30,0.23330490955818128,0.5473420548837451
sample_size,train_fraction,1.0,x_learner,policy_regret,0.1956343674990274,0.3500704824913374,0.06391383332574092,0.0725401133286554,0.1377952164452294,30,0.08750806968968333,0.33151945248431874
sample_size,train_fraction,1.0,x_learner,policy_value,17.994255466523878,20.390324323271656,3.722746862234049,10.8273231012816,6.013789754986529,30,11.719874263445115,25.87698063481432
sample_size,train_fraction,1.0,neural_rep,pehe,2.0084256995833885,3.2308773504047443,0.5898748017830671,0.9262240964882151,0.3138125448842234,30,1.044876157413903,3.3082291706341866
sample_size,train_fraction,1.0,neural_rep,abs_ate_error,0.22826463911333061,0.2591210267037298,0.0473088104831771,0.16949449341681477,0.15160761876290252,30,0.15025791352314985,0.3294011929529228
sample_size,train_fraction,1.0,neural_rep,policy_regret,0.04971264467076999,0.07730367356028538,0.014113655262327999,0.01912396088298074,0.07497796598589224,30,0.027077546107459587,0.08049351489403171
sample_size,train_fraction,1.0,neural_rep,policy_value,18.140177189352134,20.670421713299547,3.773885415172915,10.886585403567237,6.15455921396547,30,11.773482675694845,26.126058880714936
